10000 70
20000 69
30000 69
40000 69
50000 74
60000 69
70000 63
80000 69
90000 69
100000 62
110000 62
120000 69
130000 63
140000 71
150000 62
160000 62
170000 63
180000 67
190000 62
200000 69
210000 69
220000 62
230000 62
240000 69
250000 62
260000 63
270000 63
280000 63
290000 62
300000 63
310000 62
320000 62
330000 72
340000 62
350000 63
360000 66
370000 63
380000 62
390000 62
400000 62
410000 63
420000 63
430000 62
440000 62
450000 62
460000 63
470000 66
480000 63
490000 63
500000 69
510000 62
520000 62
530000 69
540000 62
550000 62
560000 63
570000 63
580000 63
590000 63
600000 73
610000 69
620000 66
630000 66
640000 62
650000 62
660000 69
670000 69
680000 62
690000 62
700000 62
710000 69
720000 63
730000 63
740000 63
750000 63
760000 63
770000 62
780000 69
790000 69
800000 62
810000 63
820000 73
830000 63
840000 69
850000 62
860000 69
870000 63
880000 72
890000 62
900000 63
910000 70
920000 63
930000 63
940000 62
950000 63
960000 62
970000 63
980000 62
990000 62
1000000 62
