10000 528
20000 1419
30000 2230
40000 3122
50000 3966
60000 4735
70000 5607
80000 6393
90000 7075
100000 7846
110000 8526
120000 9623
130000 10301
140000 10812
150000 11592
160000 12722
170000 13736
180000 14803
190000 15657
200000 16712
210000 16639
220000 18051
230000 19308
240000 19532
250000 20419
260000 23050
270000 23510
280000 24572
290000 25597
300000 26243
310000 27218
320000 27903
330000 28850
340000 29764
350000 30891
360000 32078
370000 32759
380000 33556
390000 34588
400000 35686
410000 36276
420000 37289
430000 38359
440000 38548
450000 39893
460000 41117
470000 43108
480000 43225
490000 43004
500000 45125
510000 45314
520000 46431
530000 47435
540000 48364
550000 48667
560000 49660
570000 51300
580000 62547
590000 75346
600000 80042
610000 79923
620000 81738
630000 83110
640000 83871
650000 84251
660000 81610
670000 84506
680000 83325
690000 85795
700000 86524
710000 87381
720000 89636
730000 91750
740000 88960
750000 91778
760000 95689
770000 95005
780000 96457
790000 96494
800000 98297
810000 98012
820000 99893
830000 103292
840000 101945
850000 101754
860000 101816
870000 104491
880000 107037
890000 109503
900000 111965
910000 109546
920000 109165
930000 112186
940000 112653
950000 113275
960000 114588
970000 116948
980000 121684
990000 119901
1000000 119242
